team_name,player_name,14-10-24,15-10-24,16-10-24,17-10-24,18-10-24,19-10-24,20-10-24,22-10-24,23-10-24,Lanzamientos Totales
HER,A.J. Puckett,0.0,33.0,0.0,0.0,0.0,0.0,32.0,27.0,0.0,92.0
MTY,Austin Hansen,25.0,15.0,0.0,0.0,19.0,17.0,0.0,8.0,0.0,84.0
GSV,Grant Gavin,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,83.0
MAZ,Demetrio Gutierrez,0.0,11.0,0.0,26.0,0.0,2.0,12.0,8.0,24.0,83.0
CUL,Sasagi Sanchez,0.0,0.0,11.0,0.0,14.0,25.0,0.0,16.0,16.0,82.0
CUL,Fernando Olguin,0.0,13.0,0.0,15.0,0.0,23.0,0.0,0.0,31.0,82.0
NAV,Caleb Smith,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,81.0
HER,Tayron Guerrero,0.0,22.0,0.0,0.0,0.0,10.0,18.0,30.0,0.0,80.0
MTY,Norman Elenes,11.0,0.0,0.0,0.0,16.0,10.0,20.0,0.0,23.0,80.0
MOC,Irving Machuca,0.0,19.0,17.0,0.0,0.0,19.0,0.0,25.0,0.0,80.0
GSV,Victor Buelna,0.0,0.0,0.0,27.0,0.0,0.0,17.0,0.0,35.0,79.0
OBR,Edwin Fierro,0.0,0.0,13.0,22.0,0.0,9.0,12.0,18.0,5.0,79.0
CUL,Stephen Nogosek,0.0,0.0,16.0,0.0,17.0,8.0,0.0,15.0,20.0,76.0
OBR,Felipe Gonzalez,0.0,7.0,18.0,0.0,0.0,0.0,21.0,29.0,0.0,75.0
NAV,Esteban Bloch,0.0,0.0,16.0,0.0,0.0,22.0,23.0,6.0,8.0,75.0
OBR,Zach Willeman,0.0,0.0,0.0,9.0,0.0,30.0,11.0,25.0,0.0,75.0
JAL,Trevor Clifton,0.0,7.0,0.0,11.0,0.0,0.0,13.0,0.0,43.0,74.0
MXC,Jesus Cruz,14.0,0.0,0.0,0.0,9.0,31.0,0.0,18.0,0.0,72.0
GSV,Fabian Anguamea,0.0,17.0,18.0,0.0,0.0,13.0,0.0,22.0,0.0,70.0
NAV,Charlie Hasty,0.0,11.0,10.0,11.0,0.0,0.0,18.0,18.0,0.0,68.0
GSV,Ivan Izaguirre,0.0,0.0,0.0,29.0,0.0,0.0,16.0,0.0,23.0,68.0
MXC,Jose Isidro Marquez,13.0,25.0,0.0,0.0,0.0,0.0,13.0,0.0,16.0,67.0
MTY,Matt Turner,0.0,19.0,0.0,0.0,16.0,8.0,0.0,23.0,0.0,66.0
MTY,Alexis Vera,13.0,0.0,0.0,0.0,0.0,15.0,19.0,19.0,0.0,66.0
OBR,Daniel De La Fuente,0.0,9.0,0.0,0.0,36.0,0.0,0.0,0.0,20.0,65.0
HER,Jose Samayoa,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,65.0
MTY,Arturo Roque,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,28.0,65.0
NAV,Carlos Bustamante,0.0,21.0,0.0,9.0,0.0,0.0,9.0,26.0,0.0,65.0
MOC,Miguel Vazquez,0.0,0.0,8.0,0.0,12.0,0.0,17.0,0.0,28.0,65.0
