team_name,player_name,16-10-24,17-10-24,18-10-24,19-10-24,20-10-24,22-10-24,23-10-24,24-10-24,Lanzamientos Totales
GSV,Ivan Izaguirre,0,29P 19S 10B<br>0ER 0H,0,0,16P 10S 6B<br>0ER 0H,0,23P 14S 9B<br>2ER 2H,27P 17S 10B<br>1ER 1H,95
NAV,Esteban Bloch,16P 9S 7B<br>0ER 0H,0,0,22P 13S 9B<br>0ER 0H,23P 15S 8B<br>1ER 3H,6P 4S 2B<br>0ER 1H,8P 5S 3B<br>0ER 1H,9P 6S 3B<br>2ER 2H,84
CUL,Sasagi Sanchez,11P 6S 5B<br>0ER 0H,0,14P 12S 2B<br>0ER 0H,25P 17S 8B<br>2ER 2H,0,16P 11S 5B<br>1ER 2H,16P 12S 4B<br>0ER 0H,0,82
MXC,Jesus Cruz,0,0,9P 8S 1B<br>0ER 0H,31P 19S 12B<br>0ER 0H,0,18P 9S 9B<br>0ER 0H,0,23P 16S 7B<br>0ER 1H,81
GSV,Victor Buelna,0,27P 19S 8B<br>0ER 2H,0,0,17P 13S 4B<br>1ER 2H,0,35P 22S 13B<br>1ER 1H,0,79
OBR,Edwin Fierro,13P 9S 4B<br>0ER 1H,22P 16S 6B<br>1ER 3H,0,9P 5S 4B<br>0ER 0H,12P 8S 4B<br>0ER 0H,18P 11S 7B<br>0ER 0H,5P 4S 1B<br>0ER 1H,0,79
HER,Ricky Karcher,0,13P 11S 2B<br>0ER 1H,0,10P 8S 2B<br>0ER 0H,23P 15S 8B<br>0ER 2H,13P 11S 2B<br>0ER 1H,0,17P 12S 5B<br>0ER 0H,76
CUL,Stephen Nogosek,16P 11S 5B<br>0ER 1H,0,17P 13S 4B<br>0ER 1H,8P 8S 0B<br>0ER 1H,0,15P 9S 6B<br>0ER 1H,20P 12S 8B<br>0ER 1H,0,76
OBR,Zach Willeman,0,9P 7S 2B<br>0ER 0H,0,30P 20S 10B<br>0ER 1H,11P 8S 3B<br>0ER 1H,25P 18S 7B<br>0ER 2H,0,0,75
MXC,Trevor Kuncl,0,0,0,14P 9S 5B<br>0ER 0H,0,26P 16S 10B<br>0ER 1H,0,34P 19S 15B<br>1ER 1H,74
MOC,Vicente Valenzuela,0,0,28P 18S 10B<br>0ER 2H,0,0,0,0,44P 27S 17B<br>1ER 1H,72
MAZ,Demetrio Gutierrez,0,26P 15S 11B<br>0ER 1H,0,2P 1S 1B<br>0ER 0H,12P 6S 6B<br>0ER 0H,8P 7S 1B<br>0ER 0H,24P 16S 8B<br>0ER 0H,0,72
HER,A.J. Puckett,0,0,0,0,32P 18S 14B<br>0ER 0H,27P 18S 9B<br>0ER 1H,0,12P 8S 4B<br>0ER 1H,71
MOC,Frank Moscatiello,0,14P 2S 12B<br>1ER 0H,0,0,15P 7S 8B<br>0ER 0H,0,0,40P 18S 22B<br>0ER 1H,69
MTY,Norman Elenes,0,0,16P 12S 4B<br>0ER 2H,10P 7S 3B<br>0ER 0H,20P 7S 13B<br>1ER 1H,0,23P 8S 15B<br>1ER 0H,0,69
CUL,Fernando Olguin,0,15P 10S 5B<br>0ER 1H,0,23P 13S 10B<br>0ER 0H,0,0,31P 18S 13B<br>0ER 0H,0,69
OBR,Felipe Gonzalez,18P 10S 8B<br>1ER 1H,0,0,0,21P 11S 10B<br>0ER 1H,29P 18S 11B<br>2ER 2H,0,0,68
JAL,Trevor Clifton,0,11P 8S 3B<br>0ER 0H,0,0,13P 8S 5B<br>0ER 0H,0,43P 21S 22B<br>0ER 2H,0,67
MOC,Miguel Vazquez,8P 6S 2B<br>0ER 0H,0,12P 8S 4B<br>0ER 0H,0,17P 9S 8B<br>1ER 1H,0,28P 15S 13B<br>2ER 2H,0,65
MTY,Arturo Roque,37P 21S 16B<br>1ER 2H,0,0,0,0,0,28P 15S 13B<br>1ER 2H,0,65
CUL,Efrain Contreras,0,9P 5S 4B<br>0ER 0H,0,15P 8S 7B<br>1ER 2H,0,14P 10S 4B<br>0ER 1H,0,26P 22S 4B<br>0ER 2H,64
GSV,Juan Cossio,19P 15S 4B<br>0ER 1H,0,0,0,18P 15S 3B<br>0ER 1H,0,27P 15S 12B<br>0ER 0H,0,64
JAL,Ivan Zavala,16P 8S 8B<br>0ER 0H,0,0,0,0,40P 22S 18B<br>0ER 0H,0,8P 6S 2B<br>0ER 0H,64
MXC,Eli Villalobos,20P 12S 8B<br>0ER 1H,0,0,11P 8S 3B<br>0ER 0H,9P 6S 3B<br>1ER 2H,0,17P 8S 9B<br>0ER 0H,6P 4S 2B<br>0ER 1H,63
MXC,Jake Sanchez,0,0,20P 12S 8B<br>0ER 0H,17P 11S 6B<br>0ER 0H,0,0,0,25P 14S 11B<br>0ER 1H,62
MOC,Irving Machuca,17P 8S 9B<br>0ER 1H,0,0,19P 11S 8B<br>2ER 2H,0,25P 15S 10B<br>0ER 0H,0,0,61
